"Paper","Total Citations","TC per Year"
"SCIME M, 2008, INT J EATING DISORD","43","3.3077"
"GODART N, 2006, INT J EATING DISORD","43","2.8667"
"CLAUSEN L, 2004, INT J EATING DISORD","43","2.5294"
"LÃ©ONARD S, 2003, INT J EATING DISORD","43","2.3889"
"BARRY DT, 2002, INT J EATING DISORD","43","2.2632"
"SIEVERT K-D, 2002, INT J EATING DISORD","43","2.2632"
"WESTENHOEFER J, 2001, INT J EATING DISORD","43","2.1500"
"SPRINGER EA, 1999, INT J EATING DISORD","43","1.9545"
"PROBST M, 1998, INT J EATING DISORD","43","1.8696"
"GARRETT CJ, 1997, INT J EATING DISORD","43","1.7917"
"MITCHELL JE, 1996, INT J EATING DISORD","43","1.7200"
"EPEL ES, 1996, INT J EATING DISORD","43","1.7200"
"BEMPORAD JR, 1996, INT J EATING DISORD","43","1.7200"
"GUPTA MA, 1995, INT J EATING DISORD-a","43","1.6538"
"SCHMIDT U, 1993, INT J EATING DISORD","43","1.5357"
"BAKAN R, 1993, INT J EATING DISORD","43","1.5357"
"WOLF EM, 1992, INT J EATING DISORD","43","1.4828"
"MITCHELL JE, 1991, INT J EATING DISORD-a","43","1.4333"
"FICHTER MM, 1990, INT J EATING DISORD","43","1.3871"
"WALLER G, 1990, INT J EATING DISORD","43","1.3871"
"VANDEREYCKEN W, 1990, INT J EATING DISORD","43","1.3871"
"RADKEÂ€SHARPE N, 1990, INT J EATING DISORD","43","1.3871"
"OWENS RG, 1987, INT J EATING DISORD","43","1.2647"
"SIGHTS JR, 1984, INT J EATING DISORD","43","1.1622"
"COATES TJ, 1982, INT J EATING DISORD","43","1.1026"
"STEFFEN JJ, 1999, EATING DISORD","43","1.9545"
"PIRAN N, 1995, EATING DISORD","43","1.6538"
"SMITH E, 2009, EUR EATING DISORD REV","43","3.5833"
"MOND JM, 2007, EUR EATING DISORD REV","43","3.0714"
"BOYD C, 2007, EUR EATING DISORD REV","43","3.0714"
"RICHARD M, 2005, EUR EATING DISORD REV-a","43","2.6875"
"EIVORS A, 2003, EUR EATING DISORD REV","43","2.3889"
"GHADERI A, 2002, EUR EATING DISORD REV","43","2.2632"
"MADDEN S, 2015, INT J EATING DISORD","42","7.0000"
"KITTEL R, 2015, INT J EATING DISORD","42","7.0000"
"HIBBS R, 2015, INT J EATING DISORD","42","7.0000"
"DAHLGREN CL, 2013, INT J EATING DISORD","42","5.2500"
"NARAYANAN V, 2010, INT J EATING DISORD","42","3.8182"
"VAN SON GE, 2010, INT J EATING DISORD","42","3.8182"
"REAS DL, 2010, INT J EATING DISORD","42","3.8182"
"LAESSLE RG, 2009, INT J EATING DISORD","42","3.5000"
"STRIEGEL-MOORE RH, 2008, INT J EATING DISORD","42","3.2308"
"CONNAN F, 2007, INT J EATING DISORD","42","3.0000"
"MAY AL, 2006, INT J EATING DISORD","42","2.8000"
"ROEHRIG M, 2006, INT J EATING DISORD","42","2.8000"
"REAGAN P, 2005, INT J EATING DISORD","42","2.6250"
"KLUMP KL, 2005, INT J EATING DISORD","42","2.6250"
"SYSKO R, 2005, INT J EATING DISORD","42","2.6250"
"CANPOLAT BI, 2005, INT J EATING DISORD","42","2.6250"
"LYKE JA, 2004, INT J EATING DISORD","42","2.4706"
"BARA-CARRIL N, 2004, INT J EATING DISORD","42","2.4706"
"WENTZ E, 2003, INT J EATING DISORD","42","2.3333"
"GORIN AA, 2003, INT J EATING DISORD","42","2.3333"
"HAAS HL, 2003, INT J EATING DISORD","42","2.3333"
"TANOFSKY-KRAFF M, 2003, INT J EATING DISORD","42","2.3333"
"STEIN D, 2002, INT J EATING DISORD","42","2.2105"
"AHLBERG J, 2002, INT J EATING DISORD","42","2.2105"
"PEL JJM, 2002, INT J EATING DISORD","42","2.2105"
"NAKAMURA K, 2000, INT J EATING DISORD","42","2.0000"
"KEEL PK, 2000, INT J EATING DISORD-a","42","2.0000"
"HANSEL SL, 1997, INT J EATING DISORD","42","1.7500"
"SHERMAN DK, 1995, INT J EATING DISORD","42","1.6154"
"PLATTE P, 1994, INT J EATING DISORD","42","1.5556"
"ROTHSCHILD R, 1994, INT J EATING DISORD","42","1.5556"
"CROWTHER JH, 1992, INT J EATING DISORD","42","1.4483"
"THOMPSON DA, 1987, INT J EATING DISORD","42","1.2353"
"ROSE JS, 2013, J EATING DISORD","42","5.2500"
"GAETANI S, 2008, EATING WEIGHT DISORD","42","3.2308"
"SIERVO M, 2005, EATING WEIGHT DISORD","42","2.6250"
"DAKANALIS A, 2012, EATING DISORD","42","4.6667"
"PIRAN N, 2010, EATING DISORD","42","3.8182"
"PROULX K, 2008, EATING DISORD","42","3.2308"
"GENTILE K, 2007, EATING DISORD","42","3.0000"
"VALOIS RF, 2003, EATING DISORD","42","2.3333"
"FRIEDMAN K, 2016, EUR EATING DISORD REV","42","8.4000"
"ATIYE M, 2015, EUR EATING DISORD REV","42","7.0000"
"HUGHES EK, 2013, EUR EATING DISORD REV","42","5.2500"
"JENKINS J, 2012, EUR EATING DISORD REV","42","4.6667"
"NILSSON K, 2008, EUR EATING DISORD REV","42","3.2308"
"TERENO S, 2008, EUR EATING DISORD REV","42","3.2308"
"COOK-DARZENS S, 2005, EUR EATING DISORD REV","42","2.6250"
"COCKELL SJ, 2003, EUR EATING DISORD REV","42","2.3333"
"LINARDON J, 2016, INT J EATING DISORD","41","8.2000"
"WITT AA, 2014, INT J EATING DISORD","41","5.8571"
"BALODIS IM, 2014, INT J EATING DISORD","41","5.8571"
"MITCHELL JE, 2013, INT J EATING DISORD","41","5.1250"
"CONCEIÃ§Ã£O E, 2013, INT J EATING DISORD","41","5.1250"
"WILDES JE, 2012, INT J EATING DISORD-a","41","4.5556"
"KLUMP KL, 2010, INT J EATING DISORD","41","3.7273"
"MCLEAN SA, 2010, INT J EATING DISORD","41","3.7273"
"AMMANITI M, 2010, INT J EATING DISORD","41","3.7273"
"ENGEL SG, 2005, INT J EATING DISORD","41","2.5625"
"GRILO CM, 2005, INT J EATING DISORD","41","2.5625"
"KAYE WH, 2004, INT J EATING DISORD","41","2.4118"
"DAVIS C, 2000, INT J EATING DISORD","41","1.9524"
"GILBODY SM, 1999, INT J EATING DISORD","41","1.8636"
"LE GRANGE D, 1998, INT J EATING DISORD","41","1.7826"
"MOYER DM, 1997, INT J EATING DISORD","41","1.7083"
"BECK D, 1996, INT J EATING DISORD","41","1.6400"
"HO KSI, 1995, INT J EATING DISORD","41","1.5769"
"OGDEN J, 1994, INT J EATING DISORD","41","1.5185"
"KINZL J, 1993, INT J EATING DISORD","41","1.4643"
"DEVLIN MJ, 1992, INT J EATING DISORD","41","1.4138"
"FREEMAN R, 1991, INT J EATING DISORD","41","1.3667"
"HALMI KA, 1981, INT J EATING DISORD","41","1.0250"
"COHEN R, 2015, J EATING DISORD","41","6.8333"
"CAPRIO M, 2017, EATING WEIGHT DISORD","41","10.2500"
"SCHULZ S, 2010, EATING WEIGHT DISORD","41","3.7273"
"Ã…LGARS M, 2012, EATING DISORD","41","4.5556"
"LINVILLE D, 2012, EATING DISORD","41","4.5556"
"LOW KG, 2006, EATING DISORD","41","2.7333"
"KALODNER CR, 1997, EATING DISORD","41","1.7083"
"MEYER C, 2011, EUR EATING DISORD REV","41","4.1000"
"ISOMAA R, 2009, EUR EATING DISORD REV","41","3.4167"
"VIDOVIÄ‡ V, 2005, EUR EATING DISORD REV","41","2.5625"
"ROSENVINGE JH, 2001, EUR EATING DISORD REV","41","2.0500"
"SCHMIDT U, 1997, EUR EATING DISORD REV","41","1.7083"
"MANGWETH-MATZEK B, 2014, INT J EATING DISORD","40","5.7143"
"LAVENDER JM, 2009, INT J EATING DISORD","40","3.3333"
"CARTER JC, 2009, INT J EATING DISORD","40","3.3333"
"DIMITROPOULOS G, 2008, INT J EATING DISORD","40","3.0769"
"BRENNAN BP, 2008, INT J EATING DISORD","40","3.0769"
"SMYTH JM, 2008, INT J EATING DISORD","40","3.0769"
"BURTON E, 2007, INT J EATING DISORD","40","2.8571"
"STEINHAUSEN H-C, 2005, INT J EATING DISORD","40","2.5000"
"GONZÃ¡LEZ-PINTO A, 2004, INT J EATING DISORD","40","2.3529"
"DOHM F-A, 2002, INT J EATING DISORD","40","2.1053"
"OHANIAN V, 2002, INT J EATING DISORD","40","2.1053"
"YARYURA-TOBIAS JA, 2001, INT J EATING DISORD","40","2.0000"
"MAHON J, 2001, INT J EATING DISORD","40","2.0000"
"WONDERLICH S, 2001, INT J EATING DISORD","40","2.0000"
"SANSONE RA, 2001, INT J EATING DISORD-a","40","2.0000"
"VAN STRIEN T, 2000, INT J EATING DISORD","40","1.9048"
"BAKER D, 1998, INT J EATING DISORD","40","1.7391"
"OGDEN J, 1998, INT J EATING DISORD","40","1.7391"
"GENDALL KA, 1997, INT J EATING DISORD-a","40","1.6667"
"PRYOR T, 1996, INT J EATING DISORD-a","40","1.6000"
"WALLER D, 1996, INT J EATING DISORD","40","1.6000"
"REZAUL I, 1996, INT J EATING DISORD","40","1.6000"
"MCCOURT J, 1995, INT J EATING DISORD","40","1.5385"
"ROONEY B, 1995, INT J EATING DISORD","40","1.5385"
"GREENO CG, 1995, INT J EATING DISORD-a","40","1.5385"
"FERNÃ¡NDEZ F, 1994, INT J EATING DISORD","40","1.4815"
"WILSON GT, 1991, INT J EATING DISORD","40","1.3333"
"HEDLUND S, 2003, EATING WEIGHT DISORD","40","2.2222"
"GOLLINGS E, 2006, EATING DISORD","40","2.6667"
"NOORDENBOS G, 2006, EATING DISORD","40","2.6667"
"SHERMAN RT, 2005, EATING DISORD","40","2.5000"
"VITOUSEK KM, 2005, EATING DISORD","40","2.5000"
"KENNEDY MA, 2004, EATING DISORD","40","2.3529"
"SCHULTE EM, 2017, EUR EATING DISORD REV","40","10.0000"
"RODGERS RF, 2016, EUR EATING DISORD REV","40","8.0000"
"RÃ¸ Ã˜, 2015, EUR EATING DISORD REV","40","6.6667"
"KAYE WH, 2015, EUR EATING DISORD REV","40","6.6667"
"MATTON A, 2013, EUR EATING DISORD REV","40","5.0000"
"CLAES L, 2012, EUR EATING DISORD REV-a-b-c","40","4.4444"
"WHITNEY J, 2012, EUR EATING DISORD REV-a","40","4.4444"
"JOOS A, 2011, EUR EATING DISORD REV","40","4.0000"
"DARCY AM, 2010, EUR EATING DISORD REV","40","3.6364"
"MITCHISON D, 2017, INT J EATING DISORD","39","9.7500"
"JEWELL T, 2016, INT J EATING DISORD","39","7.8000"
"MEHLER PS, 2016, INT J EATING DISORD-a-b","39","7.8000"
"WEIDER S, 2015, INT J EATING DISORD","39","6.5000"
"HART LM, 2015, INT J EATING DISORD","39","6.5000"
"GRIFFITHS S, 2014, INT J EATING DISORD","39","5.5714"
"KNOWLES L, 2013, INT J EATING DISORD","39","4.8750"
"ELLISON R, 2012, INT J EATING DISORD","39","4.3333"
"AMMANITI M, 2012, INT J EATING DISORD","39","4.3333"
"SMEETS E, 2011, INT J EATING DISORD","39","3.9000"
"STRIEGEL-MOORE RH, 2010, INT J EATING DISORD","39","3.5455"
"YU L, 2010, INT J EATING DISORD","39","3.5455"
"ZAITSOFF SL, 2008, INT J EATING DISORD","39","3.0000"
"FRANKO DL, 2008, INT J EATING DISORD","39","3.0000"
"MASHEB RM, 2006, INT J EATING DISORD","39","2.6000"
"LEVINE MD, 2006, INT J EATING DISORD","39","2.6000"
"PETERSON CB, 2005, INT J EATING DISORD","39","2.4375"
"ANDERSON DA, 2005, INT J EATING DISORD","39","2.4375"
"STRIEGEL-MOORE RH, 2004, INT J EATING DISORD","39","2.2941"
"STEINBERG E, 2004, INT J EATING DISORD","39","2.2941"
"MOND JM, 2004, INT J EATING DISORD-a-b","39","2.2941"
"GÃ¶PEL C, 2001, INT J EATING DISORD","39","1.9500"
"HETHERINGTON MM, 2000, INT J EATING DISORD","39","1.8571"
"ROSER W, 1999, INT J EATING DISORD","39","1.7727"
"WELCH SL, 1998, INT J EATING DISORD","39","1.6957"
"GLEAVES DH, 1998, INT J EATING DISORD","39","1.6957"
"SULLIVAN PF, 1996, INT J EATING DISORD-a","39","1.5600"
"BROWNELL KD, 1995, INT J EATING DISORD","39","1.5000"
"NEUMÃ¤RKER U, 1992, INT J EATING DISORD","39","1.3448"
"MITCHELL JE, 1992, INT J EATING DISORD","39","1.3448"
"JOUGHIN N, 1992, INT J EATING DISORD-a","39","1.3448"
"RAND CSW, 1991, INT J EATING DISORD","39","1.3000"
"SCHOTTE DE, 1990, INT J EATING DISORD","39","1.2581"
"POLE R, 1988, INT J EATING DISORD","39","1.1818"
"LEWIS LD, 1985, INT J EATING DISORD","39","1.0833"
"STEINGLASS JE, 2016, J EATING DISORD","39","7.8000"
"LINDVALL DAHLGREN C, 2014, J EATING DISORD","39","5.5714"
"TURNER PG, 2017, EATING WEIGHT DISORD","39","9.7500"
"JITNARIN N, 2011, EATING WEIGHT DISORD","39","3.9000"
"GADALLA T, 2007, EATING DISORD","39","2.7857"
"FAGUNDO AB, 2013, EUR EATING DISORD REV","39","4.8750"
"STERNHEIM L, 2011, EUR EATING DISORD REV","39","3.9000"
"MURRAY K, 2003, EUR EATING DISORD REV","39","2.1667"
"MACHADO PPP, 2001, EUR EATING DISORD REV","39","1.9500"
"WASSENAAR D, 2000, EUR EATING DISORD REV","39","1.8571"
"CLINTON D, 1999, EUR EATING DISORD REV","39","1.7727"
"OGDEN J, 1997, EUR EATING DISORD REV","39","1.6250"
"SLADE P, 1994, EUR EATING DISORD REV","39","1.4444"
"BORA E, 2016, INT J EATING DISORD","38","7.6000"
"PUCCIO F, 2016, INT J EATING DISORD","38","7.6000"
"GRIFFITHS S, 2015, INT J EATING DISORD","38","6.3333"
"MANASSE SM, 2015, INT J EATING DISORD","38","6.3333"
"VANNUCCI A, 2013, INT J EATING DISORD","38","4.7500"
"FITZPATRICK KK, 2012, INT J EATING DISORD","38","4.2222"
"SWANSON SA, 2012, INT J EATING DISORD","38","4.2222"
"KENYON M, 2012, INT J EATING DISORD","38","4.2222"
"GUERDJIKOVA AI, 2012, INT J EATING DISORD-a-b","38","4.2222"
"MAYER LES, 2012, INT J EATING DISORD","38","4.2222"
"BARNES RD, 2011, INT J EATING DISORD","38","3.8000"
"KEEL PK, 2010, INT J EATING DISORD","38","3.4545"
"POTT W, 2009, INT J EATING DISORD","38","3.1667"
"WONDERLICH SA, 2008, INT J EATING DISORD","38","2.9231"
"GOLDEN NH, 2008, INT J EATING DISORD","38","2.9231"
"DALLE GRAVE R, 2008, INT J EATING DISORD","38","2.9231"
"FISCHER S, 2007, INT J EATING DISORD","38","2.7143"
"EDLER C, 2007, INT J EATING DISORD","38","2.7143"
"RAYMOND NC, 2007, INT J EATING DISORD","38","2.7143"
"OLMSTED MP, 2005, INT J EATING DISORD","38","2.3750"
"ABRAHAM S, 2004, INT J EATING DISORD","38","2.2353"
"FONSECA H, 2002, INT J EATING DISORD","38","2.0000"
"GELLER J, 2002, INT J EATING DISORD-a","38","2.0000"
"RAND CSW, 2001, INT J EATING DISORD","38","1.9000"
"HAIMAN C, 1999, INT J EATING DISORD","38","1.7273"
"ZIEGLER PJ, 1998, INT J EATING DISORD","38","1.6522"
"WILSON GT, 1998, INT J EATING DISORD","38","1.6522"
"LEUNG F, 1996, INT J EATING DISORD","38","1.5200"
"PRYOR T, 1996, INT J EATING DISORD","38","1.5200"
"FOMBONNE E, 1996, INT J EATING DISORD","38","1.5200"
"HASTINGS T, 1994, INT J EATING DISORD","38","1.4074"
"CLARK MM, 1994, INT J EATING DISORD","38","1.4074"
"LOEB KL, 1994, INT J EATING DISORD","38","1.4074"
"BREWERTON TD, 1993, INT J EATING DISORD-a","38","1.3571"
"MCCANN UD, 1991, INT J EATING DISORD","38","1.2667"
"WAGNER S, 1987, INT J EATING DISORD","38","1.1176"
"GANDOUR MJ, 1984, INT J EATING DISORD","38","1.0270"
"INNAMORATI M, 2015, EATING WEIGHT DISORD-a","38","6.3333"
"MAZZONI R, 1999, EATING WEIGHT DISORD","38","1.7273"
"BAHCECI M, 1999, EATING WEIGHT DISORD","38","1.7273"
"POSTON 2ND WS, 1998, EAT WEIGHT DISORD","38","1.6522"
"HART LM, 2009, EATING DISORD","38","3.1667"
"KATER KJ, 2000, EATING DISORD","38","1.8095"
"DE VRIES S-K, 2016, EUR EATING DISORD REV","38","7.6000"
"BROCKMEYER T, 2015, EUR EATING DISORD REV","38","6.3333"
"WITCOMB GL, 2015, EUR EATING DISORD REV","38","6.3333"
"MOND J, 2008, EUR EATING DISORD REV","38","2.9231"
"VOCKS S, 2008, EUR EATING DISORD REV","38","2.9231"
"GODT K, 2008, EUR EATING DISORD REV","38","2.9231"
"ZEECK A, 2004, EUR EATING DISORD REV","38","2.2353"
"HUBBARD ST, 1998, EUR EATING DISORD REV","38","1.6522"
"RANZENHOFER LM, 2014, INT J EATING DISORD","37","5.2857"
"RAENKER S, 2013, INT J EATING DISORD","37","4.6250"
"RACINE SE, 2012, INT J EATING DISORD","37","4.1111"
"WINGFIELD N, 2011, INT J EATING DISORD","37","3.7000"
"MIKAMI AY, 2010, INT J EATING DISORD","37","3.3636"
"HOPWOOD CJ, 2007, INT J EATING DISORD","37","2.6429"
"CURRIN L, 2007, INT J EATING DISORD-a","37","2.6429"
"JACKSON SC, 2006, INT J EATING DISORD","37","2.4667"
"HALVORSEN I, 2006, INT J EATING DISORD","37","2.4667"
"BECKER AE, 2005, INT J EATING DISORD","37","2.3125"
"HEPP U, 2005, INT J EATING DISORD","37","2.3125"
"ALLISON KC, 2004, INT J EATING DISORD","37","2.1765"
"JONES N, 2003, INT J EATING DISORD","37","2.0556"
"LAESSLE RG, 2001, INT J EATING DISORD","37","1.8500"
"WOLFE BE, 2001, INT J EATING DISORD","37","1.8500"
"GELIEBTER A, 2001, INT J EATING DISORD","37","1.8500"
"MCFARLANE T, 2001, INT J EATING DISORD","37","1.8500"
"GELLER J, 2000, INT J EATING DISORD-a","37","1.7619"
"IKETANI T, 1999, INT J EATING DISORD","37","1.6818"
"STEIN D, 1999, INT J EATING DISORD","37","1.6818"
"MIZES JS, 1998, INT J EATING DISORD","37","1.6087"
"WALLER G, 1998, INT J EATING DISORD-a-b-c","37","1.6087"
"NEUMARK-SZTAINER D, 1997, INT J EATING DISORD","37","1.5417"
"KINZL JF, 1997, INT J EATING DISORD","37","1.5417"
"THOMPSON JK, 1994, INT J EATING DISORD","37","1.3704"
"HARTMAN WM, 1993, INT J EATING DISORD","37","1.3214"
"STEINHAUSEN HÂ€C, 1992, INT J EATING DISORD-a","37","1.2759"
"PHILIPP E, 1991, INT J EATING DISORD","37","1.2333"
"XINARIS S, 1990, INT J EATING DISORD","37","1.1935"
"GOLDNER E, 1989, INT J EATING DISORD","37","1.1562"
"SCHECHTER JO, 1987, INT J EATING DISORD","37","1.0882"
"JOHNSON C, 1983, INT J EATING DISORD","37","0.9737"
"LATZER Y, 2013, J EATING DISORD","37","4.6250"
"GENDERS R, 2010, EATING WEIGHT DISORD","37","3.3636"
"DONINI LM, 2010, EAT WEIGHT DISORD","37","3.3636"
"GEIER AB, 2003, EATING WEIGHT DISORD","37","2.0556"
"STANFORD SC, 2012, EATING DISORD","37","4.1111"
"WELTZIN TE, 2012, EATING DISORD","37","4.1111"
"BRUCE KR, 2005, EATING DISORD","37","2.3125"
"CASH TF, 2003, EATING DISORD","37","2.0556"
"DALLE GRAVE R, 2001, EATING DISORD","37","1.8500"
"RIENECKE RD, 2016, EUR EATING DISORD REV","37","7.4000"
"DAVIES H, 2012, EUR EATING DISORD REV","37","4.1111"
"KRABBENBORG MAM, 2012, EUR EATING DISORD REV","37","4.1111"
"TAGAY S, 2010, EUR EATING DISORD REV","37","3.3636"
"DALLE GRAVE R, 2007, EUR EATING DISORD REV","37","2.6429"
"MCCABE MP, 2003, EUR EATING DISORD REV","37","2.0556"
"TREASURE J, 2003, EUR EATING DISORD REV","37","2.0556"
"HE J, 2017, INT J EATING DISORD","36","9.0000"
"SCHAEFER LM, 2017, INT J EATING DISORD","36","9.0000"
"STEINHAUSEN H-C, 2015, INT J EATING DISORD-a","36","6.0000"
"WILDES JE, 2014, INT J EATING DISORD","36","5.1429"
"RAYKOS BC, 2013, INT J EATING DISORD","36","4.5000"
"YAU W-YW, 2013, INT J EATING DISORD","36","4.5000"
"WILFLEY DE, 2013, INT J EATING DISORD","36","4.5000"
"HOUSE J, 2012, INT J EATING DISORD","36","4.0000"
"ABEBE DS, 2012, INT J EATING DISORD","36","4.0000"
"POONI J, 2012, INT J EATING DISORD","36","4.0000"
"SIM LA, 2009, INT J EATING DISORD","36","3.0000"
"SOARES RM, 2009, INT J EATING DISORD","36","3.0000"
"TIERNEY S, 2009, INT J EATING DISORD","36","3.0000"
"CROWTHER JH, 2008, INT J EATING DISORD","36","2.7692"
"DE LA RIE S, 2008, INT J EATING DISORD","36","2.7692"
"WARREN CS, 2008, INT J EATING DISORD","36","2.7692"
"WASILENKO KA, 2007, INT J EATING DISORD","36","2.5714"
"FRANK GK, 2007, INT J EATING DISORD","36","2.5714"
"MARSDEN P, 2007, INT J EATING DISORD","36","2.5714"
"WHITE MA, 2005, INT J EATING DISORD","36","2.2500"
"PIKE KM, 2005, INT J EATING DISORD-a","36","2.2500"
"CROW SJ, 2004, INT J EATING DISORD","36","2.1176"
"MEYER C, 2004, INT J EATING DISORD","36","2.1176"
"MOORE F, 2003, INT J EATING DISORD","36","2.0000"
"WALLER G, 2003, INT J EATING DISORD-a","36","2.0000"
"DEVLIN MJ, 2000, INT J EATING DISORD","36","1.7143"
"HAUKKALA A, 2000, INT J EATING DISORD","36","1.7143"
"MEYER C, 1999, INT J EATING DISORD","36","1.6364"
"OGDEN J, 1999, INT J EATING DISORD","36","1.6364"
"SANTONASTASO P, 1998, INT J EATING DISORD","36","1.5652"
"GENDALL KA, 1997, INT J EATING DISORD","36","1.5000"
"MITCHELL JE, 1997, INT J EATING DISORD","36","1.5000"
"KARHUNEN LJ, 1997, INT J EATING DISORD","36","1.5000"
"STEEN SN, 1996, INT J EATING DISORD","36","1.4400"
"CARROLL JM, 1996, INT J EATING DISORD","36","1.4400"
"STEIGER H, 1995, INT J EATING DISORD","36","1.3846"
"WOODSIDE DB, 1995, INT J EATING DISORD-a","36","1.3846"
"SCHEBENDACH J, 1995, INT J EATING DISORD","36","1.3846"
"MODES M, 1993, INT J EATING DISORD","36","1.2857"
"TAYLOR AV, 1993, INT J EATING DISORD","36","1.2857"
"PITTS C, 1993, INT J EATING DISORD","36","1.2857"
"STEIGER H, 1992, INT J EATING DISORD-a","36","1.2414"
"NIELSEN S, 1992, INT J EATING DISORD","36","1.2414"
"WOELL C, 1989, INT J EATING DISORD","36","1.1250"
"BULIK CM, 1987, INT J EATING DISORD","36","1.0588"
"SWIFT WJ, 1982, INT J EATING DISORD","36","0.9231"
"SIERVO M, 2006, EATING WEIGHT DISORD","36","2.4000"
"HOPKINSON RA, 2004, EATING WEIGHT DISORD","36","2.1176"
"MASHEB RM, 2004, EAT WEIGHT DISORD","36","2.1176"
"COURBASSON CM, 2011, EATING DISORD","36","3.6000"
"HAINES J, 2010, EATING DISORD","36","3.2727"
"MCVEY G, 2009, EATING DISORD","36","3.0000"
"FORMAN M, 2005, EATING DISORD","36","2.2500"
"FAVARO A, 2005, EATING DISORD","36","2.2500"
"LOCK J, 2003, EATING DISORD-a","36","2.0000"
"SCHAUMBERG K, 2017, EUR EATING DISORD REV","36","9.0000"
"SARWER DB, 2015, EUR EATING DISORD REV","36","6.0000"
"BARTHOLDY S, 2013, EUR EATING DISORD REV","36","4.5000"
"LAMPARD AM, 2013, EUR EATING DISORD REV","36","4.5000"
"OLDERSHAW A, 2012, EUR EATING DISORD REV","36","4.0000"
"TROOP NA, 2012, EUR EATING DISORD REV","36","4.0000"
"TREASURE J, 2011, EUR EATING DISORD REV","36","3.6000"
"SWANSON H, 2010, EUR EATING DISORD REV","36","3.2727"
"DEAN HY, 2008, EUR EATING DISORD REV","36","2.7692"
"SHAPIRO JR, 2007, EUR EATING DISORD REV","36","2.5714"
"TREUER T, 2005, EUR EATING DISORD REV","36","2.2500"
"SURGENOR LJ, 2004, EUR EATING DISORD REV","36","2.1176"
"ROSENVINGE JH, 1999, EUR EATING DISORD REV","36","1.6364"
"WALLER G, 1993, EUR EATING DISORD REV-a","36","1.2857"
"BRETON J, 2016, INT J EATING DISORD","35","7.0000"
"WHITE HJ, 2014, INT J EATING DISORD","35","5.0000"
"GULLIKSEN KS, 2012, INT J EATING DISORD","35","3.8889"
"BAILER UF, 2012, INT J EATING DISORD","35","3.8889"
"MASHEB RM, 2011, INT J EATING DISORD","35","3.5000"
"SELBY EA, 2010, INT J EATING DISORD","35","3.1818"
"SCOFFIER S, 2010, INT J EATING DISORD","35","3.1818"
"STRIEGEL-MOORE RH, 2009, INT J EATING DISORD-a","35","2.9167"
"KOUBAA S, 2008, INT J EATING DISORD","35","2.6923"
"BAKER JH, 2007, INT J EATING DISORD","35","2.5000"
"DAVIS C, 2004, INT J EATING DISORD","35","2.0588"
"FITZGIBBON ML, 2003, INT J EATING DISORD","35","1.9444"
"MURRAY C, 2002, INT J EATING DISORD","35","1.8421"
"AFIFI-SOWEID RA, 2002, INT J EATING DISORD","35","1.8421"
"EAGLES JM, 2001, INT J EATING DISORD","35","1.7500"
"THOMPSON KM, 2001, INT J EATING DISORD","35","1.7500"
"MORGAN JF, 2000, INT J EATING DISORD","35","1.6667"
"POLIVY J, 1999, INT J EATING DISORD","35","1.5909"
"SALZMAN JP, 1997, INT J EATING DISORD","35","1.4583"
"COOKE EA, 1997, INT J EATING DISORD","35","1.4583"
"WADDEN TA, 1996, INT J EATING DISORD","35","1.4000"
"BLOUIN J, 1995, INT J EATING DISORD","35","1.3462"
"BLOUIN JH, 1994, INT J EATING DISORD","35","1.2963"
"GALLOP R, 1994, INT J EATING DISORD","35","1.2963"
"DAVIS R, 1992, INT J EATING DISORD","35","1.2069"
"SUNDAY SR, 1992, INT J EATING DISORD","35","1.2069"
"ALTSHULER BD, 1990, INT J EATING DISORD","35","1.1290"
"LINDHOLM L, 1988, INT J EATING DISORD","35","1.0606"
"NUDELMAN S, 1988, INT J EATING DISORD","35","1.0606"
"LAESSLE RG, 1987, INT J EATING DISORD","35","1.0294"
"WILLENBRING ML, 1986, INT J EATING DISORD","35","1.0000"
"FREEMAN RJ, 1985, INT J EATING DISORD","35","0.9722"
"BROTMAN AW, 1984, INT J EATING DISORD","35","0.9459"
"JAITE C, 2013, EATING WEIGHT DISORD","35","4.3750"
"VANDERLINDEN J, 2004, EATING WEIGHT DISORD","35","2.0588"
"SEIGEL K, 2001, EATING WEIGHT DISORD","35","1.7500"
"DARCY AM, 2012, EATING DISORD","35","3.8889"
"MARKEY CN, 2004, EATING DISORD","35","2.0588"
"SPITZNAGEL MB, 2015, EUR EATING DISORD REV","35","5.8333"
"ROBINSON AL, 2013, EUR EATING DISORD REV","35","4.3750"
"CLAES L, 2012, EUR EATING DISORD REV","35","3.8889"
"MÃ¼LLER A, 2012, EUR EATING DISORD REV","35","3.8889"
"VITOUSEK KM, 2004, EUR EATING DISORD REV","35","2.0588"
"KIMMEL MC, 2016, INT J EATING DISORD","34","6.8000"
"NORRIS ML, 2016, INT J EATING DISORD","34","6.8000"
"GOLDSCHMIDT AB, 2014, INT J EATING DISORD-a","34","4.8571"
"CLAES L, 2012, INT J EATING DISORD","34","3.7778"
"GOODWIN H, 2011, INT J EATING DISORD","34","3.4000"
"JANSEN A, 2011, INT J EATING DISORD","34","3.4000"
"GOLDSTEIN M, 2011, INT J EATING DISORD","34","3.4000"
"YATES WR, 2009, INT J EATING DISORD","34","2.8333"
"RODRIGUEZ R, 2008, INT J EATING DISORD","34","2.6154"
