"Document","DOI","Year","Local.Citations","Global.Citations"
"SCHLEGEL S, 2015, EATING WEIGHT DISORD","10.1007/s40519-015-0182-3","2015","6","11"
"ZARYCHTA K, 2014, EATING WEIGHT DISORD","10.1007/s40519-014-0099-2","2014","6","10"
"ZUCHOVA S, 2013, EATING WEIGHT DISORD-a","10.1007/s40519-013-0041-z","2013","6","11"
"DA ROS A, 2011, EATING WEIGHT DISORD","","2011","6","16"
"LOMBARDO C, 2011, EATING WEIGHT DISORD","10.1007/BF03325131","2011","6","14"
"DAVIES H, 2009, EATING WEIGHT DISORD","10.1007/BF03327804","2009","6","19"
"MARANO G, 2007, EATING WEIGHT DISORD","10.1007/BF03327581","2007","6","29"
"MONTEBAROCCI O, 2006, EATING WEIGHT DISORD","10.1007/BF03327739","2006","6","45"
"MANARA F, 2005, EATING WEIGHT DISORD","10.1007/BF03327490","2005","6","18"
"SIERVO M, 2005, EATING WEIGHT DISORD","10.1007/BF03327528","2005","6","42"
"NEVONEN L, 2004, EATING WEIGHT DISORD","10.1007/BF03325082","2004","6","18"
"EMANUELLI F, 2004, EATING WEIGHT DISORD","10.1007/BF03325038","2004","6","16"
"ALVAREZ-RAYÃ³N G, 2004, EATING WEIGHT DISORD","10.1007/BF03325077","2004","6","29"
"PINTÃ©R O, 2004, EAT WEIGHT DISORD","10.1007/BF03325073","2004","6","15"
"MASHEB RM, 2004, EAT WEIGHT DISORD","10.1007/BF03325066","2004","6","36"
"BASILE B, 2004, EAT WEIGHT DISORD","10.1007/BF03325070","2004","6","13"
"NUNES MA, 2003, EATING WEIGHT DISORD","10.1007/BF03324998","2003","6","53"
"AL-ADAWI S, 2002, EATING WEIGHT DISORD","10.1007/BF03324977","2002","6","26"
"LORENZO CR, 2002, EATING WEIGHT DISORD","10.1007/BF03327458","2002","6","16"
"DORIAN L, 2002, EATING WEIGHT DISORD","","2002","6","19"
"DI PIETRO G, 2002, EATING WEIGHT DISORD","10.1007/BF03324976","2002","6","13"
"ENGSTRÃ¶M I, 2002, EATING WEIGHT DISORD","10.1007/BF03354429","2002","6","25"
"DE CAPRIO C, 2000, EATING WEIGHT DISORD","10.1007/BF03354451","2000","6","34"
"SILVERA DH, 1998, EAT WEIGHT DISORD","10.1007/BF03339995","1998","6","20"
"RACINE SE, 2018, EATING DISORD","10.1080/10640266.2018.1418381","2018","6","11"
"TY M, 2013, EATING DISORD","10.1080/10640266.2013.761089","2013","6","27"
"MURRAY SB, 2013, EATING DISORD","10.1080/10640266.2013.741989","2013","6","18"
"WHITE S, 2011, EATING DISORD","10.1080/10640266.2011.584805","2011","6","48"
"ESPESET EMS, 2011, EATING DISORD","10.1080/10640266.2011.551635","2011","6","28"
"DOCX MKF, 2010, EATING DISORD","10.1080/10640261003719484","2010","6","22"
"PIRAN N, 2010, EATING DISORD","10.1080/10640261003719435","2010","6","42"
"CLEARY BS, 2010, EATING DISORD","10.1080/10640260903585540","2010","6","19"
"SCHAFFNER AD, 2008, EATING DISORD","10.1080/10640260802370549","2008","6","12"
"PROULX K, 2008, EATING DISORD","10.1080/10640260701773496","2008","6","42"
"BROTSKY SR, 2007, EATING DISORD","10.1080/10640260701190600","2007","6","113"
"MCLEAN CP, 2007, EATING DISORD","10.1080/10640260601044485","2007","6","34"
"TIERNEY S, 2006, EATING DISORD","10.1080/10640260600638865","2006","6","52"
"SCIME M, 2006, EATING DISORD","10.1080/10640260500403881","2006","6","26"
"LOW KG, 2006, EATING DISORD","10.1080/10640260500403816","2006","6","41"
"HOLTKAMP K, 2005, EATING DISORD","10.1080/10640260591005263","2005","6","24"
"SANSONE RA, 2005, EATING DISORD-a-b-c","10.1080/10640260590893665","2005","6","21"
"CLARKE DE, 2004, EATING DISORD","10.1080/10640260490521343","2004","6","18"
"CASH TF, 2003, EATING DISORD","10.1080/10640260390218657","2003","6","37"
"COSTIN C, 2002, EATING DISORD","10.1080/10640260214506","2002","6","20"
"NOORDENBOS G, 2002, EATING DISORD","10.1080/106402602753573531","2002","6","28"
"THOMSEN SR, 2001, EATING DISORD","10.1080/106402601300187731","2001","6","34"
"IRVING LM, 2000, EATING DISORD","10.1080/10640260008251229","2000","6","44"
"IIJIMA HALL CC, 1995, EATING DISORD","10.1080/10640269508249141","1995","6","79"
"SMEETS MAM, 1995, EATING DISORD","10.1080/10640269508249153","1995","6","29"
"LEVINE MP, 1994, EATING DISORD","10.1080/10640269408249106","1994","6","18"
"MALLORQUÃ­-BAGUÃ© N, 2018, EUR EATING DISORD REV","10.1002/erv.2570","2018","6","24"
"MACHADO PPP, 2018, EUR EATING DISORD REV","10.1002/erv.2569","2018","6","18"
"PEAT CM, 2017, EUR EATING DISORD REV","10.1002/erv.2517","2017","6","23"
"SCHULTE EM, 2017, EUR EATING DISORD REV","10.1002/erv.2515","2017","6","40"
"MACHADO PPP, 2017, EUR EATING DISORD REV","10.1002/erv.2508","2017","6","15"
"STEWARD T, 2016, EUR EATING DISORD REV","10.1002/erv.2472","2016","6","12"
"SCHLEGL S, 2016, EUR EATING DISORD REV","10.1002/erv.2416","2016","6","20"
"MAGILL N, 2016, EUR EATING DISORD REV","10.1002/erv.2422","2016","6","22"
"ABBATE-DAGA G, 2015, EUR EATING DISORD REV","10.1002/erv.2369","2015","6","12"
"LANG K, 2015, EUR EATING DISORD REV","10.1002/erv.2358","2015","6","20"
"DIMITROPOULOS G, 2015, EUR EATING DISORD REV","10.1002/erv.2359","2015","6","16"
"LAMMERS MW, 2015, EUR EATING DISORD REV","10.1002/erv.2356","2015","6","19"
"FOULADI F, 2015, EUR EATING DISORD REV","10.1002/erv.2410","2015","6","27"
"IVANOVA IV, 2015, EUR EATING DISORD REV","10.1002/erv.2344","2015","6","33"
"BOMBA M, 2014, EUR EATING DISORD REV","10.1002/erv.2321","2014","6","21"
"ZANDBERG LJ, 2013, EUR EATING DISORD REV","10.1002/erv.2210","2013","6","26"
"VANSTEELANDT K, 2013, EUR EATING DISORD REV","10.1002/erv.2220","2013","6","25"
"DANNER UN, 2012, EUR EATING DISORD REV","10.1002/erv.2184","2012","6","22"
"ABBATE-DAGA G, 2012, EUR EATING DISORD REV","10.1002/erv.2199","2012","6","19"
"HASLAM M, 2012, EUR EATING DISORD REV","10.1002/erv.2198","2012","6","14"
"YUCEL B, 2011, EUR EATING DISORD REV","10.1002/erv.1104","2011","6","27"
"GONZÃ¡LEZ M, 2011, EUR EATING DISORD REV","10.1002/erv.1102","2011","6","30"
"HELVERSKOV JL, 2011, EUR EATING DISORD REV","10.1002/erv.1067","2011","6","13"
"LEGENBAUER T, 2011, EUR EATING DISORD REV","10.1002/erv.1017","2011","6","14"
"COLLIN P, 2010, EUR EATING DISORD REV","10.1002/erv.1026","2010","6","20"
"MCKNIGHT RF, 2010, EUR EATING DISORD REV","10.1002/erv.988","2010","6","68"
"MICALI N, 2009, EUR EATING DISORD REV","10.1002/erv.963","2009","6","45"
"BAMFORD B, 2009, EUR EATING DISORD REV","10.1002/erv.951","2009","6","46"
"SMITH E, 2009, EUR EATING DISORD REV","10.1002/erv.921","2009","6","43"
"ZAITSOFF SL, 2009, EUR EATING DISORD REV","10.1002/erv.915","2009","6","16"
"SWEETINGHAM R, 2008, EUR EATING DISORD REV","10.1002/erv.839","2008","6","51"
"DAVIES S, 2008, EUR EATING DISORD REV","10.1002/erv.847","2008","6","17"
"VANDERLINDEN J, 2008, EUR EATING DISORD REV","10.1002/erv.889","2008","6","24"
"VOCKS S, 2008, EUR EATING DISORD REV","10.1002/erv.825","2008","6","38"
"GODT K, 2008, EUR EATING DISORD REV","10.1002/erv.844","2008","6","38"
"WOOLRICH RA, 2008, EUR EATING DISORD REV","10.1002/erv.802","2008","6","23"
"CACHELIN FM, 2006, EUR EATING DISORD REV","10.1002/erv.720","2006","6","21"
"RYAN V, 2006, EUR EATING DISORD REV","10.1002/erv.666","2006","6","32"
"HILDEBRANDT T, 2006, EUR EATING DISORD REV","10.1002/erv.667","2006","6","21"
"JONES C, 2005, EUR EATING DISORD REV","10.1002/erv.642","2005","6","23"
"NOLLETT CL, 2005, EUR EATING DISORD REV","10.1002/erv.632","2005","6","12"
"TREUER T, 2005, EUR EATING DISORD REV","10.1002/erv.616","2005","6","36"
"NEVONEN L, 2005, EUR EATING DISORD REV","10.1002/erv.617","2005","6","19"
"ROSS M, 2004, EUR EATING DISORD REV","10.1002/erv.531","2004","6","25"
"ROSENVINGE JH, 2003, EUR EATING DISORD REV","10.1002/erv.503","2003","6","14"
"ZABRINSKI MF, 2003, EUR EATING DISORD REV","10.1002/erv.525","2003","6","28"
"WAADDEGAARD M, 2002, EUR EATING DISORD REV","10.1002/erv.442","2002","6","23"
"JACOBI C, 2002, EUR EATING DISORD REV","10.1002/erv.452","2002","6","20"
"SURGENOR LJ, 2002, EUR EATING DISORD REV","10.1002/erv.457","2002","6","29"
"THIELS C, 2001, EUR EATING DISORD REV","10.1002/erv.395","2001","6","8"
"THIELS C, 2001, EUR EATING DISORD REV-a","10.1002/erv.370","2001","6","13"
"BOON B, 2000, EUR EATING DISORD REV","3.0.CO;2-E"" target=""_blank"">10.1002/(SICI)1099-0968(200002)8:13.0.CO;2-E","2000","6","53"
"ROSENVINGE JH, 1999, EUR EATING DISORD REV","3.0.CO;2-W"" target=""_blank"">10.1002/(SICI)1099-0968(199911)7:53.0.CO;2-W","1999","6","36"
"HUBBARD ST, 1998, EUR EATING DISORD REV","3.0.CO;2-G"" target=""_blank"">10.1002/(SICI)1099-0968(199812)6:43.0.CO;2-G","1998","6","38"
"PALMER R, 1996, EUR EATING DISORD REV","3.0.CO;2-B"" target=""_blank"">10.1002/(SICI)1099-0968(199609)4:33.0.CO;2-B","1996","6","12"
"NOORDENBOS G, 1994, EUR EATING DISORD REV","10.1002/erv.2400020305","1994","6","11"
"BARDONE-CONE AM, 2019, INT J EATING DISORD-a","10.1002/eat.23128","2019","5","4"
"LOCK J, 2019, INT J EATING DISORD-a-b","10.1002/eat.22980","2019","5","11"
"UDO T, 2019, INT J EATING DISORD","10.1002/eat.23004","2019","5","15"
"SMITH KE, 2018, INT J EATING DISORD","10.1002/eat.22929","2018","5","24"
"SOLMI M, 2018, INT J EATING DISORD","10.1002/eat.22884","2018","5","9"
"MOESSNER M, 2018, INT J EATING DISORD","10.1002/eat.22878","2018","5","13"
"BRYSON AE, 2018, INT J EATING DISORD","10.1002/eat.22853","2018","5","13"
"LEEHR EJ, 2018, INT J EATING DISORD","10.1002/eat.22818","2018","5","14"
"MOESSNER M, 2017, INT J EATING DISORD","10.1002/eat.22792","2017","5","10"
"HILDEBRANDT T, 2017, INT J EATING DISORD","10.1002/eat.22781","2017","5","10"
"CHITHAMBO TP, 2017, INT J EATING DISORD","10.1002/eat.22762","2017","5","11"
"LINARDON J, 2017, INT J EATING DISORD","10.1002/eat.22763","2017","5","16"
"STEIGER H, 2017, INT J EATING DISORD","10.1002/eat.22734","2017","5","7"
"SMITH KE, 2017, INT J EATING DISORD","10.1002/eat.22739","2017","5","9"
"PETERSON CB, 2017, INT J EATING DISORD","10.1002/eat.22669","2017","5","9"
"VO M, 2017, INT J EATING DISORD","10.1002/eat.22628","2017","5","17"
"CALUGI S, 2017, INT J EATING DISORD","10.1002/eat.22677","2017","5","10"
"HUGHES EK, 2017, INT J EATING DISORD","10.1002/eat.22662","2017","5","14"
"SCHORR M, 2017, INT J EATING DISORD","10.1002/eat.22603","2017","5","21"
"THORNTON LM, 2017, INT J EATING DISORD","10.1002/eat.22624","2017","5","19"
"PENNELL A, 2016, INT J EATING DISORD","10.1002/eat.22602","2016","5","15"
"DINGEMANS AE, 2016, INT J EATING DISORD","10.1002/eat.22560","2016","5","9"
"GIEL KE, 2016, INT J EATING DISORD","10.1002/eat.22511","2016","5","22"
"MEHLER PS, 2016, INT J EATING DISORD-a-b","10.1002/eat.22452","2016","5","39"
"THOMPSON-BRENNER H, 2016, INT J EATING DISORD","10.1002/eat.22468","2016","5","16"
"MUSTELIN L, 2015, INT J EATING DISORD","10.1002/eat.22409","2015","5","19"
"COPELAND WE, 2015, INT J EATING DISORD","10.1002/eat.22459","2015","5","46"
"TROTTIER K, 2015, INT J EATING DISORD","10.1002/eat.22341","2015","5","10"
"RACINE SE, 2015, INT J EATING DISORD","10.1002/eat.22412","2015","5","20"
"TABLER J, 2015, INT J EATING DISORD","10.1002/eat.22395","2015","5","21"
"WADE TD, 2015, INT J EATING DISORD","10.1002/eat.22421","2015","5","21"
"MUNN-CHERNOFF MA, 2015, INT J EATING DISORD","10.1002/eat.22378","2015","5","13"
"WEIDER S, 2015, INT J EATING DISORD","10.1002/eat.22283","2015","5","39"
"LEVINSON CA, 2015, INT J EATING DISORD","10.1002/eat.22344","2015","5","20"
"OLMSTED MP, 2015, INT J EATING DISORD","10.1002/eat.22380","2015","5","16"
"HIBBS R, 2015, INT J EATING DISORD-a","10.1002/eat.22362","2015","5","14"
"LOTH K, 2015, INT J EATING DISORD","10.1002/eat.22382","2015","5","26"
"BAMFORD B, 2015, INT J EATING DISORD","10.1002/eat.22327","2015","5","26"
"COUTURIER J, 2015, INT J EATING DISORD","10.1002/eat.22368","2015","5","16"
"ACKARD DM, 2014, INT J EATING DISORD","10.1002/eat.22193","2014","5","27"
"MUSAIGER AO, 2014, INT J EATING DISORD","10.1002/eat.22256","2014","5","12"
"EWAN LA, 2014, INT J EATING DISORD","10.1002/eat.22209","2014","5","22"
"KLUMP KL, 2013, INT J EATING DISORD","10.1002/eat.22139","2013","5","48"
"MCFARLANE TL, 2013, INT J EATING DISORD","10.1002/eat.22136","2013","5","8"
"STEIGER H, 2013, INT J EATING DISORD","10.1002/eat.22113","2013","5","68"
"WATSON HJ, 2013, INT J EATING DISORD-a","10.1002/eat.22052","2013","5","11"
"ZUCKER N, 2013, INT J EATING DISORD","10.1002/eat.22062","2013","5","13"
"DIMITROPOULOS G, 2012, INT J EATING DISORD","10.1002/eat.22017","2012","5","13"
"LONG S, 2012, INT J EATING DISORD","10.1002/eat.20916","2012","5","17"
"WALLER G, 2012, INT J EATING DISORD-a","10.1002/eat.20914","2012","5","18"
"LAVENDER JM, 2011, INT J EATING DISORD","10.1002/eat.20880","2011","5","10"
"GOODWIN H, 2011, INT J EATING DISORD","10.1002/eat.20902","2011","5","34"
"STRIEGEL-MOORE RH, 2011, INT J EATING DISORD","10.1002/eat.20894","2011","5","13"
"TARANIS L, 2011, INT J EATING DISORD","10.1002/eat.20838","2011","5","32"
"STEELE AL, 2011, INT J EATING DISORD","10.1002/eat.20817","2011","5","30"
"HAASE AM, 2011, INT J EATING DISORD","10.1002/eat.20837","2011","5","25"
"MAXWELL M, 2011, INT J EATING DISORD","10.1002/eat.20804","2011","5","24"
"CARTER JC, 2011, INT J EATING DISORD","10.1002/eat.20820","2011","5","13"
"OSWALD KD, 2011, INT J EATING DISORD","10.1002/eat.20808","2011","5","98"
"HILL DM, 2011, INT J EATING DISORD","10.1002/eat.20812","2011","5","54"
"TANOFSKY-KRAFF M, 2010, INT J EATING DISORD","10.1002/eat.20773","2010","5","57"
"DOWMAN J, 2010, INT J EATING DISORD","10.1002/eat.20775","2010","5","24"
"POHJOLAINEN V, 2010, INT J EATING DISORD","10.1002/eat.20754","2010","5","20"
"KIM Y-R, 2010, INT J EATING DISORD","10.1002/eat.20752","2010","5","13"
"STRIEGEL-MOORE RH, 2010, INT J EATING DISORD","10.1002/eat.20735","2010","5","39"
"STEIGER H, 2010, INT J EATING DISORD","10.1002/eat.20711","2010","5","27"
"SCHOLTZ S, 2010, INT J EATING DISORD","10.1002/eat.20704","2010","5","26"
"LAESSLE RG, 2009, INT J EATING DISORD","10.1002/eat.20648","2009","5","42"
"SIM LA, 2009, INT J EATING DISORD","10.1002/eat.20654","2009","5","36"
"BURD C, 2009, INT J EATING DISORD","10.1002/eat.20628","2009","5","18"
"PODAR I, 2009, INT J EATING DISORD","10.1002/eat.20616","2009","5","28"
"STRIEGEL-MOORE RH, 2009, INT J EATING DISORD-a","10.1002/eat.20721","2009","5","35"
"STEINHAUSEN H-C, 2009, INT J EATING DISORD","10.1002/eat.20577","2009","5","28"
"ZACHRISSON HD, 2008, INT J EATING DISORD","10.1002/eat.20565","2008","5","32"
"BUTTON E, 2008, INT J EATING DISORD","10.1002/eat.20553","2008","5","30"
"RODRIGUEZ R, 2008, INT J EATING DISORD","10.1002/eat.20532","2008","5","34"
"DE FREITAS SR, 2008, INT J EATING DISORD","10.1002/eat.20530","2008","5","19"
"WARREN CS, 2008, INT J EATING DISORD","10.1002/eat.20492","2008","5","36"
"SMYTH JM, 2008, INT J EATING DISORD","10.1002/eat.20490","2008","5","40"
"CHAO YM, 2008, INT J EATING DISORD","10.1002/eat.20479","2008","5","48"
"NORDBÃ¸ RHS, 2008, INT J EATING DISORD","10.1002/eat.20547","2008","5","28"
"WINJE E, 2008, INT J EATING DISORD","10.1002/eat.20540","2008","5","21"
"CROW S, 2008, INT J EATING DISORD","10.1002/eat.20466","2008","5","92"
"JORDAN J, 2008, INT J EATING DISORD","10.1002/eat.20463","2008","5","44"
"DEVLIN MJ, 2007, INT J EATING DISORD","10.1002/eat.20430","2007","5","60"
"CALDERON R, 2007, INT J EATING DISORD","10.1002/eat.20411","2007","5","12"
"SCHEBENDACH JE, 2007, INT J EATING DISORD","10.1002/eat.20392","2007","5","20"
"HAASE AM, 2007, INT J EATING DISORD","10.1002/eat.20356","2007","5","23"
"BURTON E, 2007, INT J EATING DISORD","10.1002/eat.20292","2007","5","40"
"MAY AL, 2006, INT J EATING DISORD","10.1002/eat.20285","2006","5","42"
"TAJIRI K, 2006, INT J EATING DISORD","10.1002/eat.20326","2006","5","20"
"REGAN PC, 2006, INT J EATING DISORD","10.1002/eat.20268","2006","5","29"
"LUNDGREN JD, 2006, INT J EATING DISORD","10.1002/eat.20269","2006","5","33"
"PROCOPIO CA, 2006, INT J EATING DISORD","10.1002/eat.20242","2006","5","19"
"NEVONEN L, 2006, INT J EATING DISORD","10.1002/eat.20206","2006","5","52"
"SHAH N, 2005, INT J EATING DISORD","10.1002/eat.20204","2005","5","15"
"FICHTER MM, 2005, INT J EATING DISORD","10.1002/eat.20187","2005","5","21"
"ENGELBERG MJ, 2005, INT J EATING DISORD","10.1002/eat.20186","2005","5","32"
"RODRÃ­GUEZ M, 2005, INT J EATING DISORD","10.1002/eat.20091","2005","5","31"
"EKLUND K, 2005, INT J EATING DISORD","10.1002/eat.20097","2005","5","23"
"HEPP U, 2005, INT J EATING DISORD","10.1002/eat.20087","2005","5","37"
"MAZZEO SE, 2005, INT J EATING DISORD","10.1002/eat.20121","2005","5","25"
"MCVEY GL, 2005, INT J EATING DISORD","10.1002/eat.20114","2005","5","21"
"LASK B, 2005, INT J EATING DISORD-a","10.1002/eat.20117","2005","5","73"
"MEYER C, 2005, INT J EATING DISORD-a","10.1002/eat.20038","2005","5","28"
"CROW SJ, 2004, INT J EATING DISORD","10.1002/eat.20031","2004","5","36"
"WILKSCH S, 2004, INT J EATING DISORD","10.1002/eat.10273","2004","5","28"
"BINFORD RB, 2004, INT J EATING DISORD","10.1002/eat.10272","2004","5","19"
"BARBARICH NC, 2004, INT J EATING DISORD","10.1002/eat.10235","2004","5","65"
"MANGWETH B, 2004, INT J EATING DISORD","10.1002/eat.10230","2004","5","33"
"COGLEY CB, 2003, INT J EATING DISORD","10.1002/eat.10187","2003","5","22"
"JORDAN J, 2003, INT J EATING DISORD","10.1002/eat.10177","2003","5","25"
"FARRELL C, 2003, INT J EATING DISORD","10.1002/eat.10174","2003","5","19"
"HAYAKI J, 2003, INT J EATING DISORD","10.1002/eat.10172","2003","5","18"
"ROERIG JL, 2003, INT J EATING DISORD","10.1002/eat.10159","2003","5","28"
"INAGAKI T, 2003, INT J EATING DISORD","10.1002/eat.10146","2003","5","22"
"NISHIO S, 2003, INT J EATING DISORD","10.1002/eat.10143","2003","5","13"
"CARTER FA, 2003, INT J EATING DISORD-a","10.1002/eat.10126","2003","5","26"
"KEY A, 2002, INT J EATING DISORD","10.1002/eat.10087","2002","5","24"
"MURRAY C, 2002, INT J EATING DISORD","10.1002/eat.10062","2002","5","35"
"OHRING R, 2002, INT J EATING DISORD","10.1002/eat.10049","2002","5","112"
"AHLBERG J, 2002, INT J EATING DISORD","10.1002/eat.1113","2002","5","42"
"PEL JJM, 2002, INT J EATING DISORD","10.1002/eat.1111","2002","5","42"
"RAYMOND NC, 2002, INT J EATING DISORD","10.1002/eat.1110","2002","5","34"
"VAN JONGE LHD, 2001, INT J EATING DISORD","10.1002/eat.1102","2001","5","10"
"KEEL PK, 2001, INT J EATING DISORD","10.1002/eat.1053","2001","5","46"
"NEIDERMAN M, 2001, INT J EATING DISORD","10.1002/eat.1040","2001","5","27"
"GUNEWARDENE A, 2001, INT J EATING DISORD","10.1002/eat.1020","2001","5","49"
"MCFARLANE T, 2001, INT J EATING DISORD","10.1002/eat.1026","2001","5","37"
"BULIK CM, 2001, INT J EATING DISORD","3.0.CO;2-B"" target=""_blank"">10.1002/1098-108X(200101)29:13.0.CO;2-B","2001","5","32"
"ABRAHAM S, 2001, INT J EATING DISORD-a","3.0.CO;2-E"" target=""_blank"">10.1002/1098-108X(200101)29:13.0.CO;2-E","2001","5","32"
"LLED- EP, 2001, INT J EATING DISORD","3.0.CO;2-W"" target=""_blank"">10.1002/1098-108X(200101)29:13.0.CO;2-W","2001","5","34"
"VAN STRIEN T, 2000, INT J EATING DISORD","3.0.CO;2-A"" target=""_blank"">10.1002/1098-108X(200012)28:43.0.CO;2-A","2000","5","40"
"GELLER J, 2000, INT J EATING DISORD-a","3.0.CO;2-R"" target=""_blank"">10.1002/1098-108X(200011)28:33.0.CO;2-R","2000","5","37"
"PETERSON CB, 2000, INT J EATING DISORD","3.0.CO;2-6"" target=""_blank"">10.1002/1098-108X(200009)28:23.0.CO;2-6","2000","5","26"
"MOULDS ML, 2000, INT J EATING DISORD","3.0.CO;2-7"" target=""_blank"">10.1002/(SICI)1098-108X(200004)27:33.0.CO;2-7","2000","5","19"
"WIEDERMAN MW, 2000, INT J EATING DISORD","3.0.CO;2-0"" target=""_blank"">10.1002/(SICI)1098-108X(200001)27:13.0.CO;2-0","2000","5","68"
"BAKER D, 2000, INT J EATING DISORD","3.0.CO;2-P"" target=""_blank"">10.1002/(SICI)1098-108X(200001)27:13.0.CO;2-P","2000","5","86"
"RICCA V, 2000, INT J EATING DISORD","3.0.CO;2-R"" target=""_blank"">10.1002/(SICI)1098-108X(200001)27:13.0.CO;2-R","2000","5","48"
"IKETANI T, 1999, INT J EATING DISORD","3.0.CO;2-I"" target=""_blank"">10.1002/(SICI)1098-108X(199911)26:33.0.CO;2-I","1999","5","37"
"COSTANZO PR, 1999, INT J EATING DISORD","3.0.CO;2-2"" target=""_blank"">10.1002/(SICI)1098-108X(199909)26:23.0.CO;2-2","1999","5","23"
"HAIMAN C, 1999, INT J EATING DISORD","3.0.CO;2-5"" target=""_blank"">10.1002/(SICI)1098-108X(199903)25:23.0.CO;2-5","1999","5","38"
"MOYANO D, 1999, INT J EATING DISORD","3.0.CO;2-N"" target=""_blank"">10.1002/(SICI)1098-108X(199901)25:13.0.CO;2-N","1999","5","21"
"HILL AJ, 1998, INT J EATING DISORD","3.0.CO;2-D"" target=""_blank"">10.1002/(SICI)1098-108X(199812)24:43.0.CO;2-D","1998","5","92"
"WILSON GT, 1998, INT J EATING DISORD","3.0.CO;2-3"" target=""_blank"">10.1002/(SICI)1098-108X(199807)24:13.0.CO;2-3","1998","5","38"
"SLAY HA, 1998, INT J EATING DISORD","3.0.CO;2-H"" target=""_blank"">10.1002/(SICI)1098-108X(199804)23:33.0.CO;2-H","1998","5","58"
"O'KEARNEY R, 1998, INT J EATING DISORD","3.0.CO;2-H"" target=""_blank"">10.1002/(SICI)1098-108X(199804)23:33.0.CO;2-H","1998","5","14"
"WALLER G, 1998, INT J EATING DISORD-a-b-c","3.0.CO;2-0"" target=""_blank"">10.1002/(SICI)1098-108X(199803)23:23.0.CO;2-0","1998","5","37"
"ELDREDGE KL, 1998, INT J EATING DISORD","3.0.CO;2-E"" target=""_blank"">10.1002/(SICI)1098-108X(199805)23:43.0.CO;2-E","1998","5","24"
"MEHLER PS, 1998, INT J EATING DISORD","3.0.CO;2-W"" target=""_blank"">10.1002/(SICI)1098-108X(199809)24:23.0.CO;2-W","1998","5","29"
"ATCHISON M, 1998, INT J EATING DISORD","3.0.CO;2-4"" target=""_blank"">10.1002/(SICI)1098-108X(199801)23:13.0.CO;2-4","1998","5","26"
"BLACK CMD, 1997, INT J EATING DISORD","3.0.CO;2-T"" target=""_blank"">10.1002/(SICI)1098-108X(199711)22:33.0.CO;2-T","1997","5","31"
"BULIK CM, 1997, INT J EATING DISORD","3.0.CO;2-0"" target=""_blank"">10.1002/(SICI)1098-108X(199709)22:23.0.CO;2-0","1997","5","48"
"WADE T, 1997, INT J EATING DISORD","3.0.CO;2-H"" target=""_blank"">10.1002/(SICI)1098-108X(199707)22:13.0.CO;2-H","1997","5","21"
"DECKELMAN MC, 1997, INT J EATING DISORD","3.0.CO;2-5"" target=""_blank"">10.1002/(SICI)1098-108X(199707)22:13.0.CO;2-5","1997","5","24"
"MCKISACK C, 1997, INT J EATING DISORD","3.0.CO;2-L"" target=""_blank"">10.1002/(SICI)1098-108X(199707)22:13.0.CO;2-L","1997","5","29"
"LE GRANGE D, 1997, INT J EATING DISORD","3.0.CO;2-G"" target=""_blank"">10.1002/(SICI)1098-108X(199704)21:33.0.CO;2-G","1997","5","30"
"KLEM ML, 1997, INT J EATING DISORD","3.0.CO;2-J"" target=""_blank"">10.1002/(SICI)1098-108X(199703)21:23.0.CO;2-J","1997","5","58"
"JOINER JR TE, 1997, INT J EATING DISORD","3.0.CO;2-1"" target=""_blank"">10.1002/(SICI)1098-108X(199701)21:13.0.CO;2-1","1997","5","31"
"BONNE OB, 1996, INT J EATING DISORD","3.0.CO;2-Z"" target=""_blank"">10.1002/(SICI)1098-108X(199612)20:43.0.CO;2-Z","1996","5","14"
"VERON-GUIDRY S, 1996, INT J EATING DISORD","3.0.CO;2-K"" target=""_blank"">10.1002/(SICI)1098-108X(199611)20:33.0.CO;2-K","1996","5","59"
"BIRMINGHAM CL, 1996, INT J EATING DISORD","3.0.CO;2-5"" target=""_blank"">10.1002/(SICI)1098-108X(199609)20:23.0.CO;2-5","1996","5","52"
"EPEL ES, 1996, INT J EATING DISORD","3.0.CO;2-K"" target=""_blank"">10.1002/(SICI)1098-108X(199604)19:33.0.CO;2-K","1996","5","43"
"ANDERSEN RE, 1995, INT J EATING DISORD","3.0.CO;2-C"" target=""_blank"">10.1002/1098-108X(199507)18:13.0.CO;2-C","1995","5","55"
"SALISBURY JJ, 1995, INT J EATING DISORD","3.0.CO;2-Q"" target=""_blank"">10.1002/1098-108X(199505)17:43.0.CO;2-Q","1995","5","31"
"FOREYT JP, 1995, INT J EATING DISORD","3.0.CO;2-N"" target=""_blank"">10.1002/1098-108X(199504)17:33.0.CO;2-N","1995","5","108"
"TOBIN DL, 1995, INT J EATING DISORD","3.0.CO;2-F"" target=""_blank"">10.1002/1098-108X(199504)17:33.0.CO;2-F","1995","5","23"
"ROONEY B, 1995, INT J EATING DISORD","3.0.CO;2-K"" target=""_blank"">10.1002/1098-108X(199512)18:43.0.CO;2-K","1995","5","40"
"EPSTEIN LH, 1994, INT J EATING DISORD","3.0.CO;2-D"" target=""_blank"">10.1002/1098-108X(199403)15:23.0.CO;2-D","1994","5","64"
"CARRÂ€NANGLE RE, 1994, INT J EATING DISORD","3.0.CO;2-Y"" target=""_blank"">10.1002/1098-108X(199411)16:33.0.CO;2-Y","1994","5","25"
